RF,nodes Count,
RF_10_pruned_with_sigma_0_2_t19,259,
RF_10_pruned_with_sigma_0_3_t19,269,
RF_10_t20,1,
RF_10_pruned_with_sigma_0_0_t20,4,
RF_10_pruned_with_sigma_0_1_t20,205,
RF_10_pruned_with_sigma_0_2_t20,242,
RF_10_pruned_with_sigma_0_3_t20,253,
RF_10_t21,1,
RF_10_pruned_with_sigma_0_0_t21,2,
RF_10_pruned_with_sigma_0_1_t21,164,
RF_10_pruned_with_sigma_0_2_t21,205,
RF_10_pruned_with_sigma_0_3_t21,217,
RF_10_t22,1,
RF_10_pruned_with_sigma_0_0_t22,1,
RF_10_pruned_with_sigma_0_1_t22,119,
RF_10_pruned_with_sigma_0_2_t22,170,
RF_10_pruned_with_sigma_0_3_t22,186,
RF_10_t23,1,
RF_10_pruned_with_sigma_0_0_t23,1,
RF_10_pruned_with_sigma_0_1_t23,85,
RF_10_pruned_with_sigma_0_2_t23,135,
RF_10_pruned_with_sigma_0_3_t23,150,
RF_10_t24,1,
RF_10_pruned_with_sigma_0_0_t24,1,
RF_10_pruned_with_sigma_0_1_t24,44,
RF_10_pruned_with_sigma_0_2_t24,84,
RF_10_pruned_with_sigma_0_3_t24,107,
RF_10_t25,1,
RF_10_pruned_with_sigma_0_0_t25,1,
RF_10_pruned_with_sigma_0_1_t25,10,
RF_10_pruned_with_sigma_0_2_t25,37,
RF_10_pruned_with_sigma_0_3_t25,40,
RF_15_t2,20867,
RF_15_pruned_with_sigma_0_0_t2,11512,
RF_15_pruned_with_sigma_0_1_t2,8457,
RF_15_pruned_with_sigma_0_2_t2,13280,
RF_15_pruned_with_sigma_0_3_t2,17863,
RF_15_t3,8388,
RF_15_pruned_with_sigma_0_0_t3,9603,
RF_15_pruned_with_sigma_0_1_t3,3451,
RF_15_pruned_with_sigma_0_2_t3,2848,
RF_15_pruned_with_sigma_0_3_t3,3184,
RF_15_t4,3958,
RF_15_pruned_with_sigma_0_0_t4,7862,
RF_15_pruned_with_sigma_0_1_t4,2995,
RF_15_pruned_with_sigma_0_2_t4,1918,
RF_15_pruned_with_sigma_0_3_t4,1549,
RF_15_t5,2135,
RF_15_pruned_with_sigma_0_0_t5,6255,
RF_15_pruned_with_sigma_0_1_t5,2765,
RF_15_pruned_with_sigma_0_2_t5,1714,
RF_15_pruned_with_sigma_0_3_t5,1306,
RF_15_t6,1294,
RF_15_pruned_with_sigma_0_0_t6,4776,
RF_15_pruned_with_sigma_0_1_t6,2571,
RF_15_pruned_with_sigma_0_2_t6,1593,
RF_15_pruned_with_sigma_0_3_t6,1205,
RF_15_t7,803,
RF_15_pruned_with_sigma_0_0_t7,3525,
RF_15_pruned_with_sigma_0_1_t7,2363,
RF_15_pruned_with_sigma_0_2_t7,1479,
RF_15_pruned_with_sigma_0_3_t7,1136,
RF_15_t8,523,
RF_15_pruned_with_sigma_0_0_t8,2522,
RF_15_pruned_with_sigma_0_1_t8,2166,
RF_15_pruned_with_sigma_0_2_t8,1391,
RF_15_pruned_with_sigma_0_3_t8,1074,
RF_15_t9,316,
RF_15_pruned_with_sigma_0_0_t9,1811,
RF_15_pruned_with_sigma_0_1_t9,1974,
RF_15_pruned_with_sigma_0_2_t9,1303,
RF_15_pruned_with_sigma_0_3_t9,1008,
RF_15_t10,185,
RF_15_pruned_with_sigma_0_0_t10,1293,
RF_15_pruned_with_sigma_0_1_t10,1794,
RF_15_pruned_with_sigma_0_2_t10,1229,
RF_15_pruned_with_sigma_0_3_t10,947,
RF_15_t11,110,
