RF,nodes Count,
RF_15_pruned_with_sigma_0_1_t2,1198,
RF_15_pruned_with_sigma_0_2_t2,1688,
RF_15_pruned_with_sigma_0_3_t2,1974,
RF_15_t3,413,
RF_15_pruned_with_sigma_0_0_t3,612,
RF_15_pruned_with_sigma_0_1_t3,405,
RF_15_pruned_with_sigma_0_2_t3,561,
RF_15_pruned_with_sigma_0_3_t3,695,
RF_15_t4,188,
RF_15_pruned_with_sigma_0_0_t4,416,
RF_15_pruned_with_sigma_0_1_t4,260,
RF_15_pruned_with_sigma_0_2_t4,247,
RF_15_pruned_with_sigma_0_3_t4,311,
RF_15_t5,95,
RF_15_pruned_with_sigma_0_0_t5,267,
RF_15_pruned_with_sigma_0_1_t5,211,
RF_15_pruned_with_sigma_0_2_t5,167,
RF_15_pruned_with_sigma_0_3_t5,173,
RF_15_t6,57,
RF_15_pruned_with_sigma_0_0_t6,191,
RF_15_pruned_with_sigma_0_1_t6,183,
RF_15_pruned_with_sigma_0_2_t6,143,
RF_15_pruned_with_sigma_0_3_t6,133,
RF_15_t7,43,
RF_15_pruned_with_sigma_0_0_t7,128,
RF_15_pruned_with_sigma_0_1_t7,170,
RF_15_pruned_with_sigma_0_2_t7,127,
RF_15_pruned_with_sigma_0_3_t7,117,
RF_15_t8,32,
RF_15_pruned_with_sigma_0_0_t8,97,
RF_15_pruned_with_sigma_0_1_t8,150,
RF_15_pruned_with_sigma_0_2_t8,119,
RF_15_pruned_with_sigma_0_3_t8,101,
RF_15_t9,22,
RF_15_pruned_with_sigma_0_0_t9,74,
RF_15_pruned_with_sigma_0_1_t9,140,
RF_15_pruned_with_sigma_0_2_t9,112,
RF_15_pruned_with_sigma_0_3_t9,96,
RF_15_t10,12,
RF_15_pruned_with_sigma_0_0_t10,61,
RF_15_pruned_with_sigma_0_1_t10,120,
RF_15_pruned_with_sigma_0_2_t10,103,
RF_15_pruned_with_sigma_0_3_t10,89,
RF_15_t11,6,
RF_15_pruned_with_sigma_0_0_t11,55,
RF_15_pruned_with_sigma_0_1_t11,105,
RF_15_pruned_with_sigma_0_2_t11,95,
RF_15_pruned_with_sigma_0_3_t11,85,
RF_15_t12,3,
RF_15_pruned_with_sigma_0_0_t12,49,
RF_15_pruned_with_sigma_0_1_t12,93,
RF_15_pruned_with_sigma_0_2_t12,88,
RF_15_pruned_with_sigma_0_3_t12,82,
RF_15_t13,2,
RF_15_pruned_with_sigma_0_0_t13,43,
RF_15_pruned_with_sigma_0_1_t13,86,
RF_15_pruned_with_sigma_0_2_t13,84,
RF_15_pruned_with_sigma_0_3_t13,77,
RF_15_t14,2,
RF_15_pruned_with_sigma_0_0_t14,41,
RF_15_pruned_with_sigma_0_1_t14,79,
RF_15_pruned_with_sigma_0_2_t14,81,
RF_15_pruned_with_sigma_0_3_t14,71,
RF_15_t15,2,
RF_15_pruned_with_sigma_0_0_t15,39,
RF_15_pruned_with_sigma_0_1_t15,67,
RF_15_pruned_with_sigma_0_2_t15,74,
RF_15_pruned_with_sigma_0_3_t15,66,
RF_15_t16,2,
RF_15_pruned_with_sigma_0_0_t16,35,
RF_15_pruned_with_sigma_0_1_t16,62,
RF_15_pruned_with_sigma_0_2_t16,68,
RF_15_pruned_with_sigma_0_3_t16,59,
RF_15_t17,2,
RF_15_pruned_with_sigma_0_0_t17,29,
RF_15_pruned_with_sigma_0_1_t17,53,
RF_15_pruned_with_sigma_0_2_t17,59,
RF_15_pruned_with_sigma_0_3_t17,54,
RF_15_t18,1,
RF_15_pruned_with_sigma_0_0_t18,26,
RF_15_pruned_with_sigma_0_1_t18,47,
RF_15_pruned_with_sigma_0_2_t18,51,
RF_15_pruned_with_sigma_0_3_t18,49,
RF_15_t19,1,
RF_15_pruned_with_sigma_0_0_t19,23,
RF_15_pruned_with_sigma_0_1_t19,42,
RF_15_pruned_with_sigma_0_2_t19,50,
RF_15_pruned_with_sigma_0_3_t19,47,
RF_15_t20,1,
RF_15_pruned_with_sigma_0_0_t20,21,
RF_15_pruned_with_sigma_0_1_t20,40,
RF_15_pruned_with_sigma_0_2_t20,46,
RF_15_pruned_with_sigma_0_3_t20,45,
RF_15_t21,1,
RF_15_pruned_with_sigma_0_0_t21,18,
RF_15_pruned_with_sigma_0_1_t21,34,
RF_15_pruned_with_sigma_0_2_t21,39,
RF_15_pruned_with_sigma_0_3_t21,41,
RF_15_t22,1,
RF_15_pruned_with_sigma_0_0_t22,15,
RF_15_pruned_with_sigma_0_1_t22,29,
RF_15_pruned_with_sigma_0_2_t22,36,
RF_15_pruned_with_sigma_0_3_t22,39,
RF_15_t23,1,
RF_15_pruned_with_sigma_0_0_t23,7,
RF_15_pruned_with_sigma_0_1_t23,25,
RF_15_pruned_with_sigma_0_2_t23,32,
RF_15_pruned_with_sigma_0_3_t23,32,
RF_15_t24,1,
RF_15_pruned_with_sigma_0_0_t24,4,
RF_15_pruned_with_sigma_0_1_t24,21,
RF_15_pruned_with_sigma_0_2_t24,27,
RF_15_pruned_with_sigma_0_3_t24,30,
RF_15_t25,1,
RF_15_pruned_with_sigma_0_0_t25,2,
RF_15_pruned_with_sigma_0_1_t25,13,
RF_15_pruned_with_sigma_0_2_t25,19,
RF_15_pruned_with_sigma_0_3_t25,22,
RF_20_t2,1317,
RF_20_pruned_with_sigma_0_0_t2,1245,
RF_20_pruned_with_sigma_0_1_t2,1591,
RF_20_pruned_with_sigma_0_2_t2,2225,
RF_20_pruned_with_sigma_0_3_t2,2557,
RF_20_t3,578,
RF_20_pruned_with_sigma_0_0_t3,727,
RF_20_pruned_with_sigma_0_1_t3,544,
RF_20_pruned_with_sigma_0_2_t3,735,
RF_20_pruned_with_sigma_0_3_t3,963,
RF_20_t4,284,
RF_20_pruned_with_sigma_0_0_t4,514,
RF_20_pruned_with_sigma_0_1_t4,346,
RF_20_pruned_with_sigma_0_2_t4,341,
RF_20_pruned_with_sigma_0_3_t4,431,
RF_20_t5,154,
RF_20_pruned_with_sigma_0_0_t5,355,
RF_20_pruned_with_sigma_0_1_t5,262,
RF_20_pruned_with_sigma_0_2_t5,228,
RF_20_pruned_with_sigma_0_3_t5,243,
RF_20_t6,101,
RF_20_pruned_with_sigma_0_0_t6,234,
RF_20_pruned_with_sigma_0_1_t6,226,
RF_20_pruned_with_sigma_0_2_t6,186,
RF_20_pruned_with_sigma_0_3_t6,176,
RF_20_t7,60,
RF_20_pruned_with_sigma_0_0_t7,152,
RF_20_pruned_with_sigma_0_1_t7,200,
RF_20_pruned_with_sigma_0_2_t7,157,
RF_20_pruned_with_sigma_0_3_t7,134,
RF_20_t8,41,
RF_20_pruned_with_sigma_0_0_t8,117,
RF_20_pruned_with_sigma_0_1_t8,169,
RF_20_pruned_with_sigma_0_2_t8,135,
RF_20_pruned_with_sigma_0_3_t8,116,
RF_20_t9,32,
RF_20_pruned_with_sigma_0_0_t9,94,
RF_20_pruned_with_sigma_0_1_t9,153,
RF_20_pruned_with_sigma_0_2_t9,132,
RF_20_pruned_with_sigma_0_3_t9,103,
RF_20_t10,18,
RF_20_pruned_with_sigma_0_0_t10,74,
RF_20_pruned_with_sigma_0_1_t10,136,
RF_20_pruned_with_sigma_0_2_t10,114,
RF_20_pruned_with_sigma_0_3_t10,96,
RF_20_t11,11,
RF_20_pruned_with_sigma_0_0_t11,63,
RF_20_pruned_with_sigma_0_1_t11,124,
RF_20_pruned_with_sigma_0_2_t11,106,
RF_20_pruned_with_sigma_0_3_t11,91,
RF_20_t12,7,
RF_20_pruned_with_sigma_0_0_t12,61,
RF_20_pruned_with_sigma_0_1_t12,112,
RF_20_pruned_with_sigma_0_2_t12,94,
RF_20_pruned_with_sigma_0_3_t12,83,
RF_20_t13,5,
RF_20_pruned_with_sigma_0_0_t13,59,
RF_20_pruned_with_sigma_0_1_t13,100,
RF_20_pruned_with_sigma_0_2_t13,88,
RF_20_pruned_with_sigma_0_3_t13,81,
RF_20_t14,4,
RF_20_pruned_with_sigma_0_0_t14,53,
RF_20_pruned_with_sigma_0_1_t14,86,
RF_20_pruned_with_sigma_0_2_t14,85,
RF_20_pruned_with_sigma_0_3_t14,78,
RF_20_t15,3,
RF_20_pruned_with_sigma_0_0_t15,48,
RF_20_pruned_with_sigma_0_1_t15,77,
RF_20_pruned_with_sigma_0_2_t15,79,
RF_20_pruned_with_sigma_0_3_t15,72,
RF_20_t16,2,
RF_20_pruned_with_sigma_0_0_t16,47,
RF_20_pruned_with_sigma_0_1_t16,70,
RF_20_pruned_with_sigma_0_2_t16,73,
RF_20_pruned_with_sigma_0_3_t16,72,
RF_20_t17,1,
RF_20_pruned_with_sigma_0_0_t17,42,
RF_20_pruned_with_sigma_0_1_t17,62,
RF_20_pruned_with_sigma_0_2_t17,68,
RF_20_pruned_with_sigma_0_3_t17,67,
RF_20_t18,1,
RF_20_pruned_with_sigma_0_0_t18,41,
RF_20_pruned_with_sigma_0_1_t18,57,
RF_20_pruned_with_sigma_0_2_t18,61,
RF_20_pruned_with_sigma_0_3_t18,60,
RF_20_t19,1,
RF_20_pruned_with_sigma_0_0_t19,36,
RF_20_pruned_with_sigma_0_1_t19,49,
RF_20_pruned_with_sigma_0_2_t19,58,
RF_20_pruned_with_sigma_0_3_t19,57,
RF_20_t20,1,
RF_20_pruned_with_sigma_0_0_t20,29,
RF_20_pruned_with_sigma_0_1_t20,44,
RF_20_pruned_with_sigma_0_2_t20,53,
RF_20_pruned_with_sigma_0_3_t20,54,
RF_20_t21,1,
RF_20_pruned_with_sigma_0_0_t21,24,
RF_20_pruned_with_sigma_0_1_t21,40,
RF_20_pruned_with_sigma_0_2_t21,46,
RF_20_pruned_with_sigma_0_3_t21,50,
RF_20_t22,1,
RF_20_pruned_with_sigma_0_0_t22,19,
RF_20_pruned_with_sigma_0_1_t22,37,
RF_20_pruned_with_sigma_0_2_t22,43,
RF_20_pruned_with_sigma_0_3_t22,45,
RF_20_t23,1,
RF_20_pruned_with_sigma_0_0_t23,18,
RF_20_pruned_with_sigma_0_1_t23,32,
RF_20_pruned_with_sigma_0_2_t23,37,
RF_20_pruned_with_sigma_0_3_t23,39,
RF_20_t24,1,
RF_20_pruned_with_sigma_0_0_t24,8,
RF_20_pruned_with_sigma_0_1_t24,28,
RF_20_pruned_with_sigma_0_2_t24,32,
RF_20_pruned_with_sigma_0_3_t24,33,
RF_20_t25,1,
RF_20_pruned_with_sigma_0_0_t25,4,
RF_20_pruned_with_sigma_0_1_t25,19,
RF_20_pruned_with_sigma_0_2_t25,26,
RF_20_pruned_with_sigma_0_3_t25,27,
