RF,nodes Count,accuracy,
RF_10_t15_pruned_with_sigma_0_3,45,0.8997926509837558,
RF_10_t16,1,0.6059553473007412,
RF_10_t16_pruned_with_sigma_0_0,14,0.8760839745793649,
RF_10_t16_pruned_with_sigma_0_1,36,0.9121756996404768,
RF_10_t16_pruned_with_sigma_0_2,42,0.9021771055967693,
RF_10_t16_pruned_with_sigma_0_3,42,0.9017446854261406,
RF_10_t17,1,0.6059553473007412,
RF_10_t17_pruned_with_sigma_0_0,12,0.870222200168006,
RF_10_t17_pruned_with_sigma_0_1,29,0.9045625053904838,
RF_10_t17_pruned_with_sigma_0_2,41,0.898700258388774,
RF_10_t17_pruned_with_sigma_0_3,39,0.9017442128357903,
RF_10_t18,1,0.6059553473007412,
RF_10_t18_pruned_with_sigma_0_0,8,0.7798114128206673,
RF_10_t18_pruned_with_sigma_0_1,27,0.9034729483376044,
RF_10_t18_pruned_with_sigma_0_2,38,0.8993526693675206,
RF_10_t18_pruned_with_sigma_0_3,36,0.8987106553764832,
RF_10_t19,1,0.6059553473007412,
RF_10_t19_pruned_with_sigma_0_0,7,0.7726377275965591,
RF_10_t19_pruned_with_sigma_0_1,24,0.9056482817205597,
RF_10_t19_pruned_with_sigma_0_2,34,0.8954471827116997,
RF_10_t19_pruned_with_sigma_0_3,33,0.8971896233336759,
RF_10_t20,1,0.6059553473007412,
RF_10_t20_pruned_with_sigma_0_0,6,0.7726377275965591,
RF_10_t20_pruned_with_sigma_0_1,20,0.9084783890340136,
RF_10_t20_pruned_with_sigma_0_2,31,0.8956638653873646,
RF_10_t20_pruned_with_sigma_0_3,30,0.8945851779125448,
RF_10_t21,1,0.6059553473007412,
RF_10_t21_pruned_with_sigma_0_0,4,0.6420584145302629,
RF_10_t21_pruned_with_sigma_0_1,18,0.904997761103215,
RF_10_t21_pruned_with_sigma_0_2,27,0.8878486387625694,
RF_10_t21_pruned_with_sigma_0_3,28,0.890677328304972,
RF_10_t22,1,0.6059553473007412,
RF_10_t22_pruned_with_sigma_0_0,3,0.7619975921521647,
RF_10_t22_pruned_with_sigma_0_1,16,0.9073836334872796,
RF_10_t22_pruned_with_sigma_0_2,19,0.8735126104827629,
RF_10_t22_pruned_with_sigma_0_3,22,0.8511286048305822,
RF_10_t23,1,0.6059553473007412,
RF_10_t23_pruned_with_sigma_0_0,2,0.7626504757212615,
RF_10_t23_pruned_with_sigma_0_1,10,0.8958578637262095,
RF_10_t23_pruned_with_sigma_0_2,15,0.8691775391984159,
RF_10_t23_pruned_with_sigma_0_3,20,0.86135002522451,
RF_10_t24,1,0.6059553473007412,
RF_10_t24_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_10_t24_pruned_with_sigma_0_1,7,0.8845638995320174,
RF_10_t24_pruned_with_sigma_0_2,11,0.8472136663677532,
RF_10_t24_pruned_with_sigma_0_3,15,0.824187174134185,
RF_10_t25,1,0.6059553473007412,
RF_10_t25_pruned_with_sigma_0_0,1,0.6059553473007412,
RF_10_t25_pruned_with_sigma_0_1,4,0.6253270620593833,
RF_10_t25_pruned_with_sigma_0_2,4,0.5909990441860163,
RF_10_t25_pruned_with_sigma_0_3,6,0.6149305469406273,
RF_15_t2,1057,0.9232558167011067,
RF_15_t2_pruned_with_sigma_0_0,982,0.9182536841371505,
RF_15_t2_pruned_with_sigma_0_1,1198,0.9052073549236235,
RF_15_t2_pruned_with_sigma_0_2,1688,0.9045573068966292,
RF_15_t2_pruned_with_sigma_0_3,1974,0.8843514701695063,
RF_15_t3,413,0.9204304352911571,
RF_15_t3_pruned_with_sigma_0_0,612,0.916305430417569,
RF_15_t3_pruned_with_sigma_0_1,405,0.9156468757642673,
RF_15_t3_pruned_with_sigma_0_2,561,0.9036934117360724,
RF_15_t3_pruned_with_sigma_0_3,695,0.8991260622944971,
RF_15_t4,188,0.9197775517220602,
RF_15_t4_pruned_with_sigma_0_0,416,0.9074044274626978,
RF_15_t4_pruned_with_sigma_0_1,260,0.9230329903508865,
RF_15_t4_pruned_with_sigma_0_2,247,0.9217267506223423,
RF_15_t4_pruned_with_sigma_0_3,311,0.8960863611606346,
RF_15_t5,95,0.9126114279435585,
RF_15_t5_pruned_with_sigma_0_0,267,0.9197836953966154,
RF_15_t5_pruned_with_sigma_0_1,211,0.9186894124402322,
RF_15_t5_pruned_with_sigma_0_2,167,0.9167246180583861,
RF_15_t5_pruned_with_sigma_0_3,173,0.9047711540301915,
RF_15_t6,57,0.8863172097320531,
RF_15_t6_pruned_with_sigma_0_0,191,0.9267331364994524,
RF_15_t6_pruned_with_sigma_0_1,183,0.8901952861475497,
RF_15_t6_pruned_with_sigma_0_2,143,0.9119438940735989,
RF_15_t6_pruned_with_sigma_0_3,133,0.9045521084027746,
RF_15_t7,43,0.8863143741899506,
RF_15_t7_pruned_with_sigma_0_0,128,0.929125625148423,
RF_15_t7_pruned_with_sigma_0_1,170,0.8893295006255915,
RF_15_t7_pruned_with_sigma_0_2,127,0.9130306155843757,
RF_15_t7_pruned_with_sigma_0_3,117,0.9089023025783348,
RF_15_t8,32,0.8698025399368383,
RF_15_t8_pruned_with_sigma_0_0,97,0.9151946067989212,
RF_15_t8_pruned_with_sigma_0_1,150,0.9106461609713621,
RF_15_t8_pruned_with_sigma_0_2,119,0.9184675312707127,
RF_15_t8_pruned_with_sigma_0_3,101,0.905862128854122,
RF_15_t9,22,0.847201851608993,
RF_15_t9_pruned_with_sigma_0_0,74,0.9110710196963844,
RF_15_t9_pruned_with_sigma_0_1,140,0.9108633162373774,
RF_15_t9_pruned_with_sigma_0_2,112,0.9184680038610631,
RF_15_t9_pruned_with_sigma_0_3,96,0.9054278183220916,
RF_15_t10,12,0.7450509747766716,
RF_15_t10_pruned_with_sigma_0_0,61,0.9056336314196969,
RF_15_t10_pruned_with_sigma_0_1,120,0.9165145516476271,
RF_15_t10_pruned_with_sigma_0_2,103,0.9169474444086063,
RF_15_t10_pruned_with_sigma_0_3,89,0.9089008848072835,
RF_15_t11,6,0.6557571547225363,
RF_15_t11_pruned_with_sigma_0_0,55,0.9082442205153833,
RF_15_t11_pruned_with_sigma_0_1,105,0.9160774055734942,
RF_15_t11_pruned_with_sigma_0_2,95,0.9132506063924932,
RF_15_t11_pruned_with_sigma_0_3,85,0.9078136907061563,
RF_15_t12,3,0.6557571547225363,
RF_15_t12_pruned_with_sigma_0_0,49,0.9084580676489458,
RF_15_t12_pruned_with_sigma_0_1,93,0.914772111025651,
RF_15_t12_pruned_with_sigma_0_2,88,0.9121643574720668,
RF_15_t12_pruned_with_sigma_0_3,82,0.9054221472378867,
RF_15_t13,2,0.6557571547225363,
RF_15_t13_pruned_with_sigma_0_0,43,0.9110776359612901,
RF_15_t13_pruned_with_sigma_0_1,86,0.9102023986323236,
RF_15_t13_pruned_with_sigma_0_2,84,0.9119443666639493,
RF_15_t13_pruned_with_sigma_0_3,77,0.9091152045311963,
RF_15_t14,2,0.6557571547225363,
RF_15_t14_pruned_with_sigma_0_0,41,0.9095551861474316,
RF_15_t14_pruned_with_sigma_0_1,79,0.9084670468656035,
RF_15_t14_pruned_with_sigma_0_2,81,0.9139039625519405,
RF_15_t14_pruned_with_sigma_0_3,71,0.9060736130359321,
RF_15_t15,2,0.6557571547225363,
RF_15_t15_pruned_with_sigma_0_0,39,0.909992804811915,
RF_15_t15_pruned_with_sigma_0_1,67,0.8960684027273189,
RF_15_t15_pruned_with_sigma_0_2,74,0.9136844443341733,
RF_15_t15_pruned_with_sigma_0_3,66,0.9028096677807984,
RF_15_t16,2,0.6557571547225363,
RF_15_t16_pruned_with_sigma_0_0,35,0.9093441745559717,
RF_15_t16_pruned_with_sigma_0_1,62,0.9017290899445769,
RF_15_t16_pruned_with_sigma_0_2,68,0.9130395948010335,
RF_15_t16_pruned_with_sigma_0_3,59,0.8915105050927516,
RF_15_t17,2,0.6557571547225363,
RF_15_t17_pruned_with_sigma_0_0,29,0.8984698705929473,
RF_15_t17_pruned_with_sigma_0_1,53,0.9030386378055739,
RF_15_t17_pruned_with_sigma_0_2,59,0.90412441413565,
RF_15_t17_pruned_with_sigma_0_3,54,0.8912924046460358,
RF_15_t18,1,0.6059553473007412,
RF_15_t18_pruned_with_sigma_0_0,26,0.9006428410241505,
RF_15_t18_pruned_with_sigma_0_1,47,0.8999975189006604,
RF_15_t18_pruned_with_sigma_0_2,51,0.902162927886257,
RF_15_t18_pruned_with_sigma_0_3,49,0.8928153270502447,
RF_15_t19,1,0.6059553473007412,
RF_15_t19_pruned_with_sigma_0_0,23,0.8982498797848295,
RF_15_t19_pruned_with_sigma_0_1,42,0.8978188773852521,
RF_15_t19_pruned_with_sigma_0_2,50,0.8995532839712712,
RF_15_t19_pruned_with_sigma_0_3,47,0.8895527995661621,
RF_15_t20,1,0.6059553473007412,
RF_15_t20_pruned_with_sigma_0_0,21,0.8904280368951287,
RF_15_t20_pruned_with_sigma_0_1,40,0.9026024369121419,
RF_15_t20_pruned_with_sigma_0_2,46,0.9010771515561808,
RF_15_t20_pruned_with_sigma_0_3,45,0.8884651328746843,
RF_15_t21,1,0.6059553473007412,
RF_15_t21_pruned_with_sigma_0_0,18,0.8636886385735332,
RF_15_t21_pruned_with_sigma_0_1,34,0.9045653409325862,
RF_15_t21_pruned_with_sigma_0_2,39,0.8956407084601944,
RF_15_t21_pruned_with_sigma_0_3,41,0.8921619708907974,
RF_15_t22,1,0.6059553473007412,
RF_15_t22_pruned_with_sigma_0_0,15,0.8134955263415954,
RF_15_t22_pruned_with_sigma_0_1,29,0.9052210600437854,
RF_15_t22_pruned_with_sigma_0_2,36,0.8919467059861839,
RF_15_t22_pruned_with_sigma_0_3,39,0.8917286055394678,
RF_15_t23,1,0.6059553473007412,
RF_15_t23_pruned_with_sigma_0_0,7,0.6657458243688851,
RF_15_t23_pruned_with_sigma_0_1,25,0.9021681263801116,
RF_15_t23_pruned_with_sigma_0_2,32,0.8826071391861285,
RF_15_t23_pruned_with_sigma_0_3,32,0.8780421526963051,
RF_15_t24,1,0.6059553473007412,
RF_15_t24_pruned_with_sigma_0_0,4,0.5670061046858514,
RF_15_t24_pruned_with_sigma_0_1,21,0.9010856581824884,
RF_15_t24_pruned_with_sigma_0_2,27,0.8839010915655617,
RF_15_t24_pruned_with_sigma_0_3,30,0.8747819881639746,
RF_15_t25,1,0.6059553473007412,
RF_15_t25_pruned_with_sigma_0_0,2,0.5600576087637155,
RF_15_t25_pruned_with_sigma_0_1,13,0.902610470948099,
RF_15_t25_pruned_with_sigma_0_2,19,0.8991279526558987,
RF_15_t25_pruned_with_sigma_0_3,22,0.8786983443978549,
RF_20_t2,1317,0.9173883712055424,
RF_20_t2_pruned_with_sigma_0_0,1245,0.8856553469462984,
RF_20_t2_pruned_with_sigma_0_1,1591,0.8995513936098695,
RF_20_t2_pruned_with_sigma_0_2,2225,0.8895570528793157,
RF_20_t2_pruned_with_sigma_0_3,2557,0.89934085460876,
RF_20_t3,578,0.9093498456401768,
RF_20_t3_pruned_with_sigma_0_0,727,0.9128224395350184,
RF_20_t3_pruned_with_sigma_0_1,544,0.882176136786551,
RF_20_t3_pruned_with_sigma_0_2,735,0.849798262994167,
RF_20_t3_pruned_with_sigma_0_3,963,0.8650133093257434,
RF_20_t4,284,0.9073874142100828,
RF_20_t4_pruned_with_sigma_0_0,514,0.9076088227892518,
RF_20_t4_pruned_with_sigma_0_1,346,0.9232558167011067,
RF_20_t4_pruned_with_sigma_0_2,341,0.9119524006999062,
