RF,nodes Count,
RF_15_t20,1,
RF_15_pruned_with_sigma_0_0_t20,1,
RF_15_pruned_with_sigma_0_1_t20,15,
RF_15_pruned_with_sigma_0_2_t20,38,
RF_15_pruned_with_sigma_0_3_t20,48,
RF_15_t21,1,
RF_15_pruned_with_sigma_0_0_t21,1,
RF_15_pruned_with_sigma_0_1_t21,10,
RF_15_pruned_with_sigma_0_2_t21,35,
RF_15_pruned_with_sigma_0_3_t21,42,
RF_15_t22,1,
RF_15_pruned_with_sigma_0_0_t22,1,
RF_15_pruned_with_sigma_0_1_t22,7,
RF_15_pruned_with_sigma_0_2_t22,29,
RF_15_pruned_with_sigma_0_3_t22,38,
RF_15_t23,1,
RF_15_pruned_with_sigma_0_0_t23,1,
RF_15_pruned_with_sigma_0_1_t23,6,
RF_15_pruned_with_sigma_0_2_t23,25,
RF_15_pruned_with_sigma_0_3_t23,35,
RF_15_t24,1,
RF_15_pruned_with_sigma_0_0_t24,1,
RF_15_pruned_with_sigma_0_1_t24,4,
RF_15_pruned_with_sigma_0_2_t24,15,
RF_15_pruned_with_sigma_0_3_t24,30,
RF_15_t25,1,
RF_15_pruned_with_sigma_0_0_t25,1,
RF_15_pruned_with_sigma_0_1_t25,2,
RF_15_pruned_with_sigma_0_2_t25,8,
RF_15_pruned_with_sigma_0_3_t25,15,
RF_20_t2,1530,
RF_20_pruned_with_sigma_0_0_t2,1320,
RF_20_pruned_with_sigma_0_1_t2,1041,
RF_20_pruned_with_sigma_0_2_t2,1149,
RF_20_pruned_with_sigma_0_3_t2,1526,
RF_20_t3,1214,
RF_20_pruned_with_sigma_0_0_t3,1121,
RF_20_pruned_with_sigma_0_1_t3,746,
RF_20_pruned_with_sigma_0_2_t3,523,
RF_20_pruned_with_sigma_0_3_t3,515,
RF_20_t4,992,
RF_20_pruned_with_sigma_0_0_t4,959,
RF_20_pruned_with_sigma_0_1_t4,691,
RF_20_pruned_with_sigma_0_2_t4,448,
RF_20_pruned_with_sigma_0_3_t4,373,
RF_20_t5,756,
RF_20_pruned_with_sigma_0_0_t5,771,
RF_20_pruned_with_sigma_0_1_t5,639,
RF_20_pruned_with_sigma_0_2_t5,429,
RF_20_pruned_with_sigma_0_3_t5,341,
RF_20_t6,544,
RF_20_pruned_with_sigma_0_0_t6,611,
RF_20_pruned_with_sigma_0_1_t6,568,
RF_20_pruned_with_sigma_0_2_t6,404,
RF_20_pruned_with_sigma_0_3_t6,317,
RF_20_t7,400,
RF_20_pruned_with_sigma_0_0_t7,477,
RF_20_pruned_with_sigma_0_1_t7,501,
RF_20_pruned_with_sigma_0_2_t7,379,
RF_20_pruned_with_sigma_0_3_t7,301,
RF_20_t8,266,
RF_20_pruned_with_sigma_0_0_t8,370,
RF_20_pruned_with_sigma_0_1_t8,428,
RF_20_pruned_with_sigma_0_2_t8,356,
RF_20_pruned_with_sigma_0_3_t8,283,
RF_20_t9,170,
RF_20_pruned_with_sigma_0_0_t9,267,
RF_20_pruned_with_sigma_0_1_t9,363,
RF_20_pruned_with_sigma_0_2_t9,325,
RF_20_pruned_with_sigma_0_3_t9,267,
RF_20_t10,104,
RF_20_pruned_with_sigma_0_0_t10,179,
RF_20_pruned_with_sigma_0_1_t10,277,
RF_20_pruned_with_sigma_0_2_t10,293,
RF_20_pruned_with_sigma_0_3_t10,252,
RF_20_t11,53,
RF_20_pruned_with_sigma_0_0_t11,124,
RF_20_pruned_with_sigma_0_1_t11,208,
RF_20_pruned_with_sigma_0_2_t11,254,
RF_20_pruned_with_sigma_0_3_t11,229,
RF_20_t12,26,
RF_20_pruned_with_sigma_0_0_t12,71,
RF_20_pruned_with_sigma_0_1_t12,156,
RF_20_pruned_with_sigma_0_2_t12,223,
RF_20_pruned_with_sigma_0_3_t12,200,
RF_20_t13,15,
RF_20_pruned_with_sigma_0_0_t13,41,
RF_20_pruned_with_sigma_0_1_t13,110,
RF_20_pruned_with_sigma_0_2_t13,187,
RF_20_pruned_with_sigma_0_3_t13,173,
RF_20_t14,9,
RF_20_pruned_with_sigma_0_0_t14,21,
RF_20_pruned_with_sigma_0_1_t14,87,
RF_20_pruned_with_sigma_0_2_t14,155,
RF_20_pruned_with_sigma_0_3_t14,155,
RF_20_t15,2,
RF_20_pruned_with_sigma_0_0_t15,10,
RF_20_pruned_with_sigma_0_1_t15,67,
RF_20_pruned_with_sigma_0_2_t15,128,
RF_20_pruned_with_sigma_0_3_t15,123,
RF_20_t16,2,
RF_20_pruned_with_sigma_0_0_t16,4,
RF_20_pruned_with_sigma_0_1_t16,52,
RF_20_pruned_with_sigma_0_2_t16,105,
RF_20_pruned_with_sigma_0_3_t16,104,
RF_20_t17,1,
RF_20_pruned_with_sigma_0_0_t17,2,
RF_20_pruned_with_sigma_0_1_t17,41,
RF_20_pruned_with_sigma_0_2_t17,83,
RF_20_pruned_with_sigma_0_3_t17,92,
RF_20_t18,1,
RF_20_pruned_with_sigma_0_0_t18,1,
RF_20_pruned_with_sigma_0_1_t18,31,
RF_20_pruned_with_sigma_0_2_t18,61,
RF_20_pruned_with_sigma_0_3_t18,77,
RF_20_t19,1,
RF_20_pruned_with_sigma_0_0_t19,1,
RF_20_pruned_with_sigma_0_1_t19,22,
RF_20_pruned_with_sigma_0_2_t19,50,
RF_20_pruned_with_sigma_0_3_t19,64,
RF_20_t20,1,
RF_20_pruned_with_sigma_0_0_t20,1,
RF_20_pruned_with_sigma_0_1_t20,17,
RF_20_pruned_with_sigma_0_2_t20,42,
RF_20_pruned_with_sigma_0_3_t20,54,
RF_20_t21,1,
RF_20_pruned_with_sigma_0_0_t21,1,
RF_20_pruned_with_sigma_0_1_t21,14,
RF_20_pruned_with_sigma_0_2_t21,39,
RF_20_pruned_with_sigma_0_3_t21,48,
RF_20_t22,1,
RF_20_pruned_with_sigma_0_0_t22,1,
RF_20_pruned_with_sigma_0_1_t22,11,
RF_20_pruned_with_sigma_0_2_t22,33,
RF_20_pruned_with_sigma_0_3_t22,45,
RF_20_t23,1,
RF_20_pruned_with_sigma_0_0_t23,1,
RF_20_pruned_with_sigma_0_1_t23,5,
RF_20_pruned_with_sigma_0_2_t23,25,
RF_20_pruned_with_sigma_0_3_t23,39,
RF_20_t24,1,
RF_20_pruned_with_sigma_0_0_t24,1,
RF_20_pruned_with_sigma_0_1_t24,3,
RF_20_pruned_with_sigma_0_2_t24,21,
RF_20_pruned_with_sigma_0_3_t24,32,
RF_20_t25,1,
RF_20_pruned_with_sigma_0_0_t25,1,
RF_20_pruned_with_sigma_0_1_t25,2,
RF_20_pruned_with_sigma_0_2_t25,7,
RF_20_pruned_with_sigma_0_3_t25,22,
