RF,nodes Count,accuracy,
RF_5_t9_pruned_with_sigma_0_3,17,0.7977337472097952,
RF_5_t10,17,0.8189551628174383,
RF_5_t10_pruned_with_sigma_0_0,17,0.8216884648770877,
RF_5_t10_pruned_with_sigma_0_1,20,0.797150029934461,
RF_5_t10_pruned_with_sigma_0_2,19,0.7451244647352432,
RF_5_t10_pruned_with_sigma_0_3,14,0.8122294628282652,
RF_5_t11,15,0.8182795484442191,
RF_5_t11_pruned_with_sigma_0_0,16,0.8253123926028119,
RF_5_t11_pruned_with_sigma_0_1,17,0.8130586209927527,
RF_5_t11_pruned_with_sigma_0_2,15,0.7863702287354981,
RF_5_t11_pruned_with_sigma_0_3,11,0.8094346272489986,
RF_5_t12,13,0.8131505463840794,
RF_5_t12_pruned_with_sigma_0_0,14,0.817573136659963,
RF_5_t12_pruned_with_sigma_0_1,14,0.8056263300275276,
RF_5_t12_pruned_with_sigma_0_2,12,0.8034767122341974,
RF_5_t12_pruned_with_sigma_0_3,10,0.809403914718286,
RF_5_t13,10,0.8080216810755733,
RF_5_t13_pruned_with_sigma_0_0,10,0.8080216810755733,
RF_5_t13_pruned_with_sigma_0_1,11,0.8078681891556142,
RF_5_t13_pruned_with_sigma_0_2,11,0.800374789072394,
RF_5_t13_pruned_with_sigma_0_3,9,0.8038143803113863,
RF_5_t14,6,0.7329941845660409,
RF_5_t14_pruned_with_sigma_0_0,7,0.8055647776456161,
RF_5_t14_pruned_with_sigma_0_1,9,0.815669105938567,
RF_5_t14_pruned_with_sigma_0_2,9,0.8092812249249375,
RF_5_t14_pruned_with_sigma_0_3,7,0.8117993364999352,
RF_5_t15,4,0.7850188443751318,
RF_5_t15_pruned_with_sigma_0_0,5,0.8148397827290044,
RF_5_t15_pruned_with_sigma_0_1,6,0.8146248610320466,
RF_5_t15_pruned_with_sigma_0_2,7,0.8109088900256566,
RF_5_t15_pruned_with_sigma_0_3,6,0.8166517843164549,
RF_5_t16,2,0.7102973980219488,
RF_5_t16_pruned_with_sigma_0_0,3,0.8026166246226127,
RF_5_t16_pruned_with_sigma_0_1,4,0.8013881469719794,
RF_5_t16_pruned_with_sigma_0_2,5,0.8277696119761988,
RF_5_t16_pruned_with_sigma_0_3,5,0.8025858837984586,
RF_5_t17,2,0.7102973980219488,
RF_5_t17_pruned_with_sigma_0_0,2,0.7102973980219488,
RF_5_t17_pruned_with_sigma_0_1,4,0.8013881469719794,
RF_5_t17_pruned_with_sigma_0_2,4,0.798347714889631,
RF_5_t17_pruned_with_sigma_0_3,4,0.7357881053240336,
RF_5_t18,2,0.7102973980219488,
RF_5_t18_pruned_with_sigma_0_0,2,0.7102973980219488,
RF_5_t18_pruned_with_sigma_0_1,3,0.7998832895539483,
RF_5_t18_pruned_with_sigma_0_2,3,0.7968428574716,
RF_5_t18_pruned_with_sigma_0_3,4,0.7357881053240336,
RF_5_t19,2,0.7102973980219488,
RF_5_t19_pruned_with_sigma_0_0,2,0.7102973980219488,
RF_5_t19_pruned_with_sigma_0_1,3,0.7998832895539483,
RF_5_t19_pruned_with_sigma_0_2,3,0.7968428574716,
RF_5_t19_pruned_with_sigma_0_3,4,0.7357881053240336,
RF_5_t20,2,0.7102973980219488,
RF_5_t20_pruned_with_sigma_0_0,2,0.7102973980219488,
RF_5_t20_pruned_with_sigma_0_1,3,0.7998832895539483,
RF_5_t20_pruned_with_sigma_0_2,3,0.7968428574716,
RF_5_t20_pruned_with_sigma_0_3,2,0.7968428574716,
RF_5_t21,2,0.7102973980219488,
RF_5_t21_pruned_with_sigma_0_0,2,0.7102973980219488,
RF_5_t21_pruned_with_sigma_0_1,3,0.7998832895539483,
RF_5_t21_pruned_with_sigma_0_2,2,0.7968428574716,
RF_5_t21_pruned_with_sigma_0_3,2,0.7968428574716,
RF_5_t22,2,0.7102973980219488,
RF_5_t22_pruned_with_sigma_0_0,2,0.7102973980219488,
