RF,nodes Count,accuracy,
RF_5_t25_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_5_t25_pruned_with_sigma_0_1,1,0.24171349360811673,
RF_5_t25_pruned_with_sigma_0_2,1,0.24171349360811673,
RF_5_t25_pruned_with_sigma_0_3,1,0.24171349360811673,
RF_10_t2,1210,0.5983502863649413,
RF_10_t2_pruned_with_sigma_0_0,1099,0.6677250274117155,
RF_10_t2_pruned_with_sigma_0_1,760,0.7920446127185281,
RF_10_t2_pruned_with_sigma_0_2,753,0.7470145003487383,
RF_10_t2_pruned_with_sigma_0_3,885,0.7368341671536371,
RF_10_t3,815,0.5918316984041099,
RF_10_t3_pruned_with_sigma_0_0,837,0.5884413744125161,
RF_10_t3_pruned_with_sigma_0_1,560,0.7529911285453892,
RF_10_t3_pruned_with_sigma_0_2,366,0.7938405875731134,
RF_10_t3_pruned_with_sigma_0_3,296,0.7443239679720899,
RF_10_t4,503,0.6858210333565553,
RF_10_t4_pruned_with_sigma_0_0,606,0.672067019458683,
RF_10_t4_pruned_with_sigma_0_1,494,0.6961280701177749,
RF_10_t4_pruned_with_sigma_0_2,319,0.7417464087587395,
RF_10_t4_pruned_with_sigma_0_3,232,0.7632251761430646,
RF_10_t5,311,0.6014838774196403,
RF_10_t5_pruned_with_sigma_0_0,405,0.6301585575939495,
RF_10_t5_pruned_with_sigma_0_1,430,0.7432978032125076,
RF_10_t5_pruned_with_sigma_0_2,298,0.7458347733330792,
RF_10_t5_pruned_with_sigma_0_3,219,0.7693087975364766,
RF_10_t6,177,0.6620681782860967,
RF_10_t6_pruned_with_sigma_0_0,251,0.6544801569168989,
RF_10_t6_pruned_with_sigma_0_1,340,0.7297895727212025,
RF_10_t6_pruned_with_sigma_0_2,282,0.7458347733330792,
RF_10_t6_pruned_with_sigma_0_3,211,0.7805815148994015,
RF_10_t7,102,0.6850710906348063,
RF_10_t7_pruned_with_sigma_0_0,173,0.7015718590828859,
RF_10_t7_pruned_with_sigma_0_1,274,0.7546390975004916,
RF_10_t7_pruned_with_sigma_0_2,248,0.7596037764612087,
RF_10_t7_pruned_with_sigma_0_3,203,0.7756245303378095,
RF_10_t8,51,0.6140634156788736,
RF_10_t8_pruned_with_sigma_0_0,95,0.6422875479573134,
RF_10_t8_pruned_with_sigma_0_1,215,0.7512561841147928,
RF_10_t8_pruned_with_sigma_0_2,224,0.7749254700419165,
RF_10_t8_pruned_with_sigma_0_3,183,0.7711212948712085,
RF_10_t9,21,0.5588425049114402,
RF_10_t9_pruned_with_sigma_0_0,48,0.7358478286081278,
RF_10_t9_pruned_with_sigma_0_1,158,0.7814712484895032,
RF_10_t9_pruned_with_sigma_0_2,198,0.7697498489561518,
RF_10_t9_pruned_with_sigma_0_3,166,0.7702211557260953,
RF_10_t10,15,0.6455473399372995,
RF_10_t10_pruned_with_sigma_0_0,31,0.6277978629762216,
RF_10_t10_pruned_with_sigma_0_1,107,0.779707297822897,
RF_10_t10_pruned_with_sigma_0_2,168,0.7760541405139503,
RF_10_t10_pruned_with_sigma_0_3,153,0.7643505542464786,
RF_10_t11,7,0.566860518242071,
RF_10_t11_pruned_with_sigma_0_0,15,0.5845019119707382,
RF_10_t11_pruned_with_sigma_0_1,83,0.7204209067594083,
RF_10_t11_pruned_with_sigma_0_2,132,0.7634465897272855,
RF_10_t11_pruned_with_sigma_0_3,136,0.7704494348526882,
RF_10_t12,4,0.44243574339170555,
RF_10_t12_pruned_with_sigma_0_0,7,0.4984246279011744,
RF_10_t12_pruned_with_sigma_0_1,61,0.714850947256806,
RF_10_t12_pruned_with_sigma_0_2,111,0.7614177760823823,
RF_10_t12_pruned_with_sigma_0_3,122,0.7736066592966169,
RF_10_t13,2,0.307538038179693,
RF_10_t13_pruned_with_sigma_0_0,2,0.307538038179693,
RF_10_t13_pruned_with_sigma_0_1,44,0.6553383701956077,
RF_10_t13_pruned_with_sigma_0_2,85,0.7530734881569601,
RF_10_t13_pruned_with_sigma_0_3,104,0.7686488974994781,
RF_10_t14,1,0.24171349360811673,
RF_10_t14_pruned_with_sigma_0_0,2,0.307538038179693,
RF_10_t14_pruned_with_sigma_0_1,33,0.6311610921861949,
RF_10_t14_pruned_with_sigma_0_2,75,0.7366119533776045,
RF_10_t14_pruned_with_sigma_0_3,91,0.7623351971842566,
RF_10_t15,1,0.24171349360811673,
RF_10_t15_pruned_with_sigma_0_0,2,0.307538038179693,
RF_10_t15_pruned_with_sigma_0_1,28,0.6555287024251851,
RF_10_t15_pruned_with_sigma_0_2,62,0.7113559341675058,
RF_10_t15_pruned_with_sigma_0_3,76,0.7445215246490418,
RF_10_t16,1,0.24171349360811673,
RF_10_t16_pruned_with_sigma_0_0,2,0.307538038179693,
RF_10_t16_pruned_with_sigma_0_1,21,0.6239617990040804,
RF_10_t16_pruned_with_sigma_0_2,47,0.6824929863332361,
RF_10_t16_pruned_with_sigma_0_3,67,0.7275937695298362,
RF_10_t17,1,0.24171349360811673,
RF_10_t17_pruned_with_sigma_0_0,2,0.307538038179693,
RF_10_t17_pruned_with_sigma_0_1,17,0.4453239082937923,
RF_10_t17_pruned_with_sigma_0_2,39,0.6511886650494737,
RF_10_t17_pruned_with_sigma_0_3,50,0.7016534488423449,
RF_10_t18,1,0.24171349360811673,
RF_10_t18_pruned_with_sigma_0_0,1,0.24171349360811673,
RF_10_t18_pruned_with_sigma_0_1,10,0.39369873019814866,
RF_10_t18_pruned_with_sigma_0_2,32,0.5107353909043592,
RF_10_t18_pruned_with_sigma_0_3,44,0.6815857609761509,
RF_10_t19,1,0.24171349360811673,
