Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
155,0,2788.0,1813.0,0,0.606,0.394,
155,1,0.0,0.0,0,0,0,
155,2,0.0,0.0,0,0,0,
156,0,0.0,0.0,0,0,0,
156,1,2458.0,1301.0,0,0.654,0.346,
156,2,330.0,512.0,1,0.392,0.608,
157,0,0.0,0.0,0,0,0,
157,1,1791.0,1376.0,0,0.566,0.434,
157,2,997.0,437.0,0,0.695,0.305,
158,0,0.0,0.0,0,0,0,
158,1,847.0,70.0,0,0.924,0.076,
158,2,1941.0,1743.0,0,0.527,0.473,
159,0,0.0,0.0,0,0,0,
159,1,574.0,37.0,0,0.939,0.061,
159,2,2214.0,1776.0,0,0.555,0.445,
160,0,0.0,0.0,0,0,0,
160,1,769.0,63.0,0,0.924,0.076,
160,2,2019.0,1750.0,0,0.536,0.464,
161,0,0.0,0.0,0,0,0,
161,1,2004.0,1787.0,0,0.529,0.471,
161,2,784.0,26.0,0,0.968,0.032,
162,0,0.0,0.0,0,0,0,
162,1,2418.0,611.0,0,0.798,0.202,
162,2,370.0,1202.0,1,0.235,0.765,
163,0,0.0,0.0,0,0,0,
163,1,2638.0,801.0,0,0.767,0.233,
163,2,150.0,1012.0,1,0.129,0.871,
164,0,0.0,0.0,0,0,0,
164,1,2276.0,1554.0,0,0.594,0.406,
164,2,512.0,259.0,0,0.664,0.336,
165,0,0.0,0.0,0,0,0,
165,1,2584.0,1364.0,0,0.655,0.345,
165,2,204.0,449.0,1,0.312,0.688,
166,0,0.0,0.0,0,0,0,
166,1,1753.0,750.0,0,0.7,0.3,
166,2,1035.0,1063.0,1,0.493,0.507,
167,0,0.0,0.0,0,0,0,
167,1,1671.0,355.0,0,0.825,0.175,
167,2,1117.0,1458.0,1,0.434,0.566,
168,0,0.0,0.0,0,0,0,
168,1,2615.0,773.0,0,0.772,0.228,
168,2,173.0,1040.0,1,0.143,0.857,
169,0,0.0,0.0,0,0,0,
169,1,994.0,85.0,0,0.921,0.079,
169,2,1794.0,1728.0,0,0.509,0.491,
170,0,0.0,0.0,0,0,0,
170,1,2582.0,884.0,0,0.745,0.255,
170,2,206.0,929.0,1,0.181,0.819,
171,0,0.0,0.0,0,0,0,
171,1,2035.0,1795.0,0,0.531,0.469,
171,2,753.0,18.0,0,0.977,0.023,
172,0,0.0,0.0,0,0,0,
172,1,1933.0,370.0,0,0.839,0.161,
172,2,855.0,1443.0,1,0.372,0.628,
173,0,0.0,0.0,0,0,0,
173,1,2143.0,1598.0,0,0.573,0.427,
173,2,645.0,215.0,0,0.75,0.25,
174,0,0.0,0.0,0,0,0,
174,1,48.0,6.0,0,0.889,0.111,
174,2,2740.0,1807.0,0,0.603,0.397,
175,0,0.0,0.0,0,0,0,
175,1,2743.0,1258.0,0,0.686,0.314,
175,2,45.0,555.0,1,0.075,0.925,
176,0,0.0,0.0,0,0,0,
176,1,2614.0,961.0,0,0.731,0.269,
176,2,174.0,852.0,1,0.17,0.83,
177,0,0.0,0.0,0,0,0,
177,1,2157.0,368.0,0,0.854,0.146,
177,2,631.0,1445.0,1,0.304,0.696,
178,0,0.0,0.0,0,0,0,
178,1,2743.0,1251.0,0,0.687,0.313,
178,2,45.0,562.0,1,0.074,0.926,
179,0,0.0,0.0,0,0,0,
179,1,2367.0,1788.0,0,0.57,0.43,
179,2,421.0,25.0,0,0.944,0.056,
180,0,0.0,0.0,0,0,0,
180,1,2204.0,812.0,0,0.731,0.269,
180,2,584.0,1001.0,1,0.368,0.632,
181,0,0.0,0.0,0,0,0,
181,1,2078.0,1805.0,0,0.535,0.465,
181,2,710.0,8.0,0,0.989,0.011,
182,0,0.0,0.0,0,0,0,
182,1,1625.0,681.0,0,0.705,0.295,
182,2,1163.0,1132.0,0,0.507,0.493,
183,0,0.0,0.0,0,0,0,
183,1,1271.0,677.0,0,0.652,0.348,
183,2,1517.0,1136.0,0,0.572,0.428,
184,0,0.0,0.0,0,0,0,
184,1,2091.0,1552.0,0,0.574,0.426,
184,2,697.0,261.0,0,0.728,0.272,
185,0,0.0,0.0,0,0,0,
185,1,2733.0,1119.0,0,0.71,0.29,
185,2,55.0,694.0,1,0.073,0.927,
186,0,0.0,0.0,0,0,0,
186,1,2048.0,304.0,0,0.871,0.129,
186,2,740.0,1509.0,1,0.329,0.671,
187,0,0.0,0.0,0,0,0,
187,1,1754.0,1775.0,1,0.497,0.503,
187,2,1034.0,38.0,0,0.965,0.035,
188,0,0.0,0.0,0,0,0,
188,1,1861.0,428.0,0,0.813,0.187,
188,2,927.0,1385.0,1,0.401,0.599,
189,0,0.0,0.0,0,0,0,
189,1,1295.0,724.0,0,0.641,0.359,
189,2,1493.0,1089.0,0,0.578,0.422,
190,0,0.0,0.0,0,0,0,
190,1,1500.0,1093.0,0,0.578,0.422,
190,2,1288.0,720.0,0,0.641,0.359,
191,0,0.0,0.0,0,0,0,
191,1,2388.0,1172.0,0,0.671,0.329,
191,2,400.0,641.0,1,0.384,0.616,
192,0,0.0,0.0,0,0,0,
192,1,2111.0,830.0,0,0.718,0.282,
192,2,677.0,983.0,1,0.408,0.592,
193,0,0.0,0.0,0,0,0,
193,1,2342.0,1768.0,0,0.57,0.43,
193,2,446.0,45.0,0,0.908,0.092,
