DSF,accuracy,
RF_10_pruned_with_sigma_0_3_t17,0.5198348141659367,
RF_10_t18,0.518708547115505,
RF_10_pruned_with_sigma_0_0_t18,0.5229633337504693,
RF_10_pruned_with_sigma_0_1_t18,0.518708547115505,
RF_10_pruned_with_sigma_0_2_t18,0.518708547115505,
RF_10_pruned_with_sigma_0_3_t18,0.5185834063321236,
RF_10_t19,0.5218370667000375,
RF_10_pruned_with_sigma_0_0_t19,0.5229633337504693,
RF_10_pruned_with_sigma_0_1_t19,0.518708547115505,
RF_10_pruned_with_sigma_0_2_t19,0.5185834063321236,
RF_10_pruned_with_sigma_0_3_t19,0.5185834063321236,
RF_10_t20,0.5227130521837067,
RF_10_pruned_with_sigma_0_0_t20,0.518708547115505,
RF_10_pruned_with_sigma_0_1_t20,0.5185834063321236,
RF_10_pruned_with_sigma_0_2_t20,0.519959954949318,
RF_10_pruned_with_sigma_0_3_t20,0.5185834063321236,
RF_10_t21,0.5502440245275936,
RF_10_pruned_with_sigma_0_0_t21,0.526967838818671,
RF_10_pruned_with_sigma_0_1_t21,0.5239644600175197,
RF_10_pruned_with_sigma_0_2_t21,0.5275935427355776,
RF_10_pruned_with_sigma_0_3_t21,0.5332248779877362,
RF_10_t22,0.5735202102365161,
RF_10_pruned_with_sigma_0_0_t22,0.5600050056313353,
RF_10_pruned_with_sigma_0_1_t22,0.5334751595544988,
RF_10_pruned_with_sigma_0_2_t22,0.5376048054060818,
RF_10_pruned_with_sigma_0_3_t22,0.5392316355900388,
RF_10_t23,0.6474784132148668,
RF_10_pruned_with_sigma_0_0_t23,0.589538230509323,
RF_10_pruned_with_sigma_0_1_t23,0.5287198097860093,
RF_10_pruned_with_sigma_0_2_t23,0.5526216994118384,
RF_10_pruned_with_sigma_0_3_t23,0.5353522713052183,
RF_10_t24,0.6427230634463772,
RF_10_pruned_with_sigma_0_0_t24,0.5770241521711926,
RF_10_pruned_with_sigma_0_1_t24,0.5463646602427731,
RF_10_pruned_with_sigma_0_2_t24,0.5463646602427731,
RF_10_pruned_with_sigma_0_3_t24,0.5603804279814791,
RF_10_t25,0.648854961832061,
RF_10_pruned_with_sigma_0_0_t25,0.6178200475534977,
RF_10_pruned_with_sigma_0_1_t25,0.5825303466399699,
RF_10_pruned_with_sigma_0_2_t25,0.5825303466399699,
RF_10_pruned_with_sigma_0_3_t25,0.6358403203604055,
RF_15_t2,0.6997872606682518,
RF_15_pruned_with_sigma_0_0_t2,0.6707545989237893,
RF_15_pruned_with_sigma_0_1_t2,0.6901514203478913,
RF_15_pruned_with_sigma_0_2_t2,0.6523589037667376,
RF_15_pruned_with_sigma_0_3_t2,0.640595670128895,
RF_15_t3,0.7021649355524966,
RF_15_pruned_with_sigma_0_0_t3,0.729946189463146,
RF_15_pruned_with_sigma_0_1_t3,0.6040545613815542,
RF_15_pruned_with_sigma_0_2_t3,0.6260793392566637,
RF_15_pruned_with_sigma_0_3_t3,0.5950444249781004,
RF_15_t4,0.625328494556376,
RF_15_pruned_with_sigma_0_0_t4,0.6258290576899012,
RF_15_pruned_with_sigma_0_1_t4,0.6563634088349393,
RF_15_pruned_with_sigma_0_2_t4,0.6700037542235014,
RF_15_pruned_with_sigma_0_3_t4,0.6695031910899762,
RF_15_t5,0.6308346890251533,
RF_15_pruned_with_sigma_0_0_t5,0.5745213365035665,
RF_15_pruned_with_sigma_0_1_t5,0.5800275309723439,
RF_15_pruned_with_sigma_0_2_t5,0.5931673132273808,
RF_15_pruned_with_sigma_0_3_t5,0.5708922537855087,
RF_15_t6,0.6767613565260918,
RF_15_pruned_with_sigma_0_0_t6,0.6030534351145038,
RF_15_pruned_with_sigma_0_1_t6,0.6254536353397572,
RF_15_pruned_with_sigma_0_2_t6,0.6016768864973094,
RF_15_pruned_with_sigma_0_3_t6,0.5636340883493931,
RF_15_t7,0.5937930171442873,
RF_15_pruned_with_sigma_0_0_t7,0.5814040795895382,
RF_15_pruned_with_sigma_0_1_t7,0.6080590664497559,
RF_15_pruned_with_sigma_0_2_t7,0.6514829182830685,
RF_15_pruned_with_sigma_0_3_t7,0.6358403203604055,
RF_15_t8,0.5723939431860844,
RF_15_pruned_with_sigma_0_0_t8,0.5215867851332749,
RF_15_pruned_with_sigma_0_1_t8,0.5917907646101864,
RF_15_pruned_with_sigma_0_2_t8,0.6474784132148668,
RF_15_pruned_with_sigma_0_3_t8,0.6270804655237142,
RF_15_t9,0.5606307095482418,
RF_15_pruned_with_sigma_0_0_t9,0.5189588286822675,
RF_15_pruned_with_sigma_0_1_t9,0.5378550869728445,
RF_15_pruned_with_sigma_0_2_t9,0.5901639344262295,
RF_15_pruned_with_sigma_0_3_t9,0.6129395570016268,
RF_15_t10,0.5476160680765861,
RF_15_pruned_with_sigma_0_0_t10,0.518708547115505,
RF_15_pruned_with_sigma_0_1_t10,0.5208359404329871,
RF_15_pruned_with_sigma_0_2_t10,0.5346014266049306,
RF_15_pruned_with_sigma_0_3_t10,0.5498686021774496,
RF_15_t11,0.5487423351270179,
RF_15_pruned_with_sigma_0_0_t11,0.518708547115505,
RF_15_pruned_with_sigma_0_1_t11,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t11,0.5264672756851458,
RF_15_pruned_with_sigma_0_3_t11,0.5364785383556501,
RF_15_t12,0.5543736703791766,
RF_15_pruned_with_sigma_0_0_t12,0.518708547115505,
RF_15_pruned_with_sigma_0_1_t12,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t12,0.5212113627831311,
RF_15_pruned_with_sigma_0_3_t12,0.5318483293705418,
RF_15_t13,0.5603804279814791,
RF_15_pruned_with_sigma_0_0_t13,0.5189588286822675,
RF_15_pruned_with_sigma_0_1_t13,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t13,0.5203353772994619,
RF_15_pruned_with_sigma_0_3_t13,0.5279689650857214,
RF_15_t14,0.5615066950319109,
RF_15_pruned_with_sigma_0_0_t14,0.5213365035665123,
RF_15_pruned_with_sigma_0_1_t14,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t14,0.519584532599174,
RF_15_pruned_with_sigma_0_3_t14,0.5244650231510449,
RF_15_t15,0.5645100738330622,
RF_15_pruned_with_sigma_0_0_t15,0.5237141784507571,
RF_15_pruned_with_sigma_0_1_t15,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t15,0.5194593918157928,
RF_15_pruned_with_sigma_0_3_t15,0.5243398823676636,
RF_15_t16,0.5627581028657239,
RF_15_pruned_with_sigma_0_0_t16,0.5292203729195345,
RF_15_pruned_with_sigma_0_1_t16,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t16,0.5189588286822675,
RF_15_pruned_with_sigma_0_3_t16,0.5212113627831311,
RF_15_t17,0.5688900012514079,
RF_15_pruned_with_sigma_0_0_t17,0.5427355775247154,
RF_15_pruned_with_sigma_0_1_t17,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t17,0.518708547115505,
RF_15_pruned_with_sigma_0_3_t17,0.5189588286822675,
RF_15_t18,0.5630083844324866,
RF_15_pruned_with_sigma_0_0_t18,0.549618320610687,
RF_15_pruned_with_sigma_0_1_t18,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t18,0.518708547115505,
RF_15_pruned_with_sigma_0_3_t18,0.518708547115505,
RF_15_t19,0.5715179577024152,
RF_15_pruned_with_sigma_0_0_t19,0.5562507821298961,
RF_15_pruned_with_sigma_0_1_t19,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t19,0.5189588286822675,
RF_15_pruned_with_sigma_0_3_t19,0.518708547115505,
RF_15_t20,0.5765235890376674,
RF_15_pruned_with_sigma_0_0_t20,0.5671380302840696,
RF_15_pruned_with_sigma_0_1_t20,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t20,0.5189588286822675,
RF_15_pruned_with_sigma_0_3_t20,0.518708547115505,
RF_15_t21,0.5834063321236391,
RF_15_pruned_with_sigma_0_0_t21,0.5956701288950069,
RF_15_pruned_with_sigma_0_1_t21,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t21,0.5189588286822675,
RF_15_pruned_with_sigma_0_3_t21,0.518708547115505,
RF_15_t22,0.6129395570016268,
RF_15_pruned_with_sigma_0_0_t22,0.6055562507821299,
RF_15_pruned_with_sigma_0_1_t22,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t22,0.5189588286822675,
RF_15_pruned_with_sigma_0_3_t22,0.518708547115505,
RF_15_t23,0.657865098235515,
RF_15_pruned_with_sigma_0_0_t23,0.6140658240520586,
RF_15_pruned_with_sigma_0_1_t23,0.522838192967088,
RF_15_pruned_with_sigma_0_2_t23,0.5189588286822675,
RF_15_pruned_with_sigma_0_3_t23,0.518708547115505,
RF_15_t24,0.6303341258916281,
RF_15_pruned_with_sigma_0_0_t24,0.5683894381178827,
RF_15_pruned_with_sigma_0_1_t24,0.5189588286822675,
RF_15_pruned_with_sigma_0_2_t24,0.518708547115505,
RF_15_pruned_with_sigma_0_3_t24,0.518708547115505,
RF_15_t25,0.5560005005631335,
RF_15_pruned_with_sigma_0_0_t25,0.5476160680765861,
RF_15_pruned_with_sigma_0_1_t25,0.518708547115505,
RF_15_pruned_with_sigma_0_2_t25,0.518708547115505,
RF_15_pruned_with_sigma_0_3_t25,0.518708547115505,
RF_20_t2,0.6952821924665249,
RF_20_pruned_with_sigma_0_0_t2,0.6886497309473157,
RF_20_pruned_with_sigma_0_1_t2,0.638968839944938,
RF_20_pruned_with_sigma_0_2_t2,0.6696283318733576,
RF_20_pruned_with_sigma_0_3_t2,0.6700037542235014,
RF_20_t3,0.5665123263671631,
RF_20_pruned_with_sigma_0_0_t3,0.57677387060443,
RF_20_pruned_with_sigma_0_1_t3,0.625328494556376,
RF_20_pruned_with_sigma_0_2_t3,0.6144412464022024,
RF_20_pruned_with_sigma_0_3_t3,0.6773870604429983,
RF_20_t4,0.5817795019396822,
RF_20_pruned_with_sigma_0_0_t4,0.6308346890251533,
RF_20_pruned_with_sigma_0_1_t4,0.6584908021524215,
RF_20_pruned_with_sigma_0_2_t4,0.5860342885746465,
RF_20_pruned_with_sigma_0_3_t4,0.5456138155424853,
RF_20_t5,0.5782755600050057,
RF_20_pruned_with_sigma_0_0_t5,0.5770241521711926,
RF_20_pruned_with_sigma_0_1_t5,0.5498686021774496,
RF_20_pruned_with_sigma_0_2_t5,0.5293455137029158,
RF_20_pruned_with_sigma_0_3_t5,0.5456138155424853,
RF_20_t6,0.5864097109247904,
RF_20_pruned_with_sigma_0_0_t6,0.6158177950193968,
RF_20_pruned_with_sigma_0_1_t6,0.5645100738330622,
RF_20_pruned_with_sigma_0_2_t6,0.5592541609310474,
RF_20_pruned_with_sigma_0_3_t6,0.5284695282192466,
RF_20_t7,0.5885371042422726,
RF_20_pruned_with_sigma_0_0_t7,0.6210737079214116,
RF_20_pruned_with_sigma_0_1_t7,0.599424352396446,
RF_20_pruned_with_sigma_0_2_t7,0.6556125641346515,
RF_20_pruned_with_sigma_0_3_t7,0.6176949067701164,
RF_20_t8,0.612564134651483,
RF_20_pruned_with_sigma_0_0_t8,0.6133149793517707,
RF_20_pruned_with_sigma_0_1_t8,0.6078087848829934,
RF_20_pruned_with_sigma_0_2_t8,0.605180828431986,
RF_20_pruned_with_sigma_0_3_t8,0.6083093480165186,
RF_20_t9,0.5842823176073082,
RF_20_pruned_with_sigma_0_0_t9,0.5989237892629208,
RF_20_pruned_with_sigma_0_1_t9,0.6011763233637842,
RF_20_pruned_with_sigma_0_2_t9,0.6089350519334251,
RF_20_pruned_with_sigma_0_3_t9,0.6359654611437867,
RF_20_t10,0.5964209735952947,
RF_20_pruned_with_sigma_0_0_t10,0.605180828431986,
RF_20_pruned_with_sigma_0_1_t10,0.6131898385683895,
RF_20_pruned_with_sigma_0_2_t10,0.6123138530847203,
RF_20_pruned_with_sigma_0_3_t10,0.6211988487047929,
RF_20_t11,0.5860342885746465,
RF_20_pruned_with_sigma_0_0_t11,0.5600050056313353,
RF_20_pruned_with_sigma_0_1_t11,0.6334626454761607,
RF_20_pruned_with_sigma_0_2_t11,0.6227005381053685,
RF_20_pruned_with_sigma_0_3_t11,0.6009260417970217,
RF_20_t12,0.5556250782129896,
RF_20_pruned_with_sigma_0_0_t12,0.518708547115505,
RF_20_pruned_with_sigma_0_1_t12,0.5643849330496808,
RF_20_pruned_with_sigma_0_2_t12,0.6145663871855838,
RF_20_pruned_with_sigma_0_3_t12,0.6343386309598298,
RF_20_t13,0.5557502189963709,
RF_20_pruned_with_sigma_0_0_t13,0.518708547115505,
RF_20_pruned_with_sigma_0_1_t13,0.54511325240896,
RF_20_pruned_with_sigma_0_2_t13,0.5758978851207609,
RF_20_pruned_with_sigma_0_3_t13,0.6398448254286072,
RF_20_t14,0.5471155049430609,
RF_20_pruned_with_sigma_0_0_t14,0.518708547115505,
RF_20_pruned_with_sigma_0_1_t14,0.5225879114003253,
