DSF,accuracy,
RF_10_pruned_with_sigma_0_3_t18,0.5243398823676636,
RF_10_t19,0.5513702915780253,
RF_10_pruned_with_sigma_0_0_t19,0.5434864222250031,
RF_10_pruned_with_sigma_0_1_t19,0.5202102365160806,
RF_10_pruned_with_sigma_0_2_t19,0.5255912902014767,
RF_10_pruned_with_sigma_0_3_t19,0.5287198097860093,
RF_10_t20,0.5573770491803278,
RF_10_pruned_with_sigma_0_0_t20,0.535602552871981,
RF_10_pruned_with_sigma_0_1_t20,0.525716430984858,
RF_10_pruned_with_sigma_0_2_t20,0.5362282567888875,
RF_10_pruned_with_sigma_0_3_t20,0.532348892504067,
RF_10_t21,0.5937930171442873,
RF_10_pruned_with_sigma_0_0_t21,0.5612564134651483,
RF_10_pruned_with_sigma_0_1_t21,0.5528719809786009,
RF_10_pruned_with_sigma_0_2_t21,0.5621323989488174,
RF_10_pruned_with_sigma_0_3_t21,0.5708922537855087,
RF_10_t22,0.6483543986985358,
RF_10_pruned_with_sigma_0_0_t22,0.6003003378801152,
RF_10_pruned_with_sigma_0_1_t22,0.5676385934175948,
RF_10_pruned_with_sigma_0_2_t22,0.5707671130021273,
RF_10_pruned_with_sigma_0_3_t22,0.5680140157677387,
RF_10_t23,0.6800150168940058,
RF_10_pruned_with_sigma_0_0_t23,0.6174446252033537,
RF_10_pruned_with_sigma_0_1_t23,0.5733950694531348,
RF_10_pruned_with_sigma_0_2_t23,0.5902890752096108,
RF_10_pruned_with_sigma_0_3_t23,0.590789638343136,
RF_10_t24,0.6835189588286823,
RF_10_pruned_with_sigma_0_0_t24,0.6204480040045051,
RF_10_pruned_with_sigma_0_1_t24,0.5881616818921287,
RF_10_pruned_with_sigma_0_2_t24,0.6025528719809786,
RF_10_pruned_with_sigma_0_3_t24,0.6021774496308346,
RF_10_t25,0.6501063696658741,
RF_10_pruned_with_sigma_0_0_t25,0.6659992491552997,
RF_10_pruned_with_sigma_0_1_t25,0.6303341258916281,
RF_10_pruned_with_sigma_0_2_t25,0.6303341258916281,
