RF,comparisons Count,accuracy,
RF_20_t6_pruned_with_sigma_0_0,199.0,0.9160717344892892,
RF_20_t6_pruned_with_sigma_0_1,202.6,0.9049850011637537,
RF_20_t6_pruned_with_sigma_0_2,181.8,0.9171679078070744,
RF_20_t6_pruned_with_sigma_0_3,166.4,0.9021681263801116,
RF_20_t7,59.0,0.8789240062901775,
RF_20_t7_pruned_with_sigma_0_0,151.0,0.9160665359954347,
RF_20_t7_pruned_with_sigma_0_1,198.8,0.8943245443342913,
RF_20_t7_pruned_with_sigma_0_2,155.1,0.9115138368547221,
RF_20_t7_pruned_with_sigma_0_3,130.5,0.9195566157332417,
RF_20_t8,40.0,0.868498190569696,
RF_20_t8_pruned_with_sigma_0_0,116.0,0.9095414810272697,
RF_20_t8_pruned_with_sigma_0_1,168.0,0.8895409848074017,
RF_20_t8_pruned_with_sigma_0_2,134.0,0.8991175556681895,
RF_20_t8_pruned_with_sigma_0_3,113.5,0.9160811862962976,
RF_20_t9,31.0,0.8580789911141199,
RF_20_t9_pruned_with_sigma_0_0,93.0,0.9141093030591954,
RF_20_t9_pruned_with_sigma_0_1,152.0,0.8917177359614081,
RF_20_t9_pruned_with_sigma_0_2,131.0,0.8989004004021744,
RF_20_t9_pruned_with_sigma_0_3,101.8,0.9004337197940924,
RF_20_t10,17.0,0.7685179212168256,
RF_20_t10_pruned_with_sigma_0_0,73.0,0.9093285790744081,
RF_20_t10_pruned_with_sigma_0_1,135.0,0.8973727520944614,
RF_20_t10_pruned_with_sigma_0_2,113.0,0.9023748846584176,
RF_20_t10_pruned_with_sigma_0_3,95.0,0.9004346649747932,
RF_20_t11,10.0,0.6981274788840724,
RF_20_t11_pruned_with_sigma_0_0,62.0,0.9104219168500908,
RF_20_t11_pruned_with_sigma_0_1,123.0,0.8960684027273189,
RF_20_t11_pruned_with_sigma_0_2,105.0,0.8917234070456133,
RF_20_t11_pruned_with_sigma_0_3,90.0,0.8999989366717115,
RF_20_t12,6.0,0.6650967215225916,
RF_20_t12_pruned_with_sigma_0_0,60.0,0.9108552822014204,
RF_20_t12_pruned_with_sigma_0_1,111.0,0.8864998659024881,
RF_20_t12_pruned_with_sigma_0_2,93.0,0.8745501825970965,
RF_20_t12_pruned_with_sigma_0_3,82.0,0.8926085687719386,
RF_20_t13,4.0,0.6568410406912106,
RF_20_t13_pruned_with_sigma_0_0,58.0,0.9115081657705172,
RF_20_t13_pruned_with_sigma_0_1,99.0,0.8880190075838936,
RF_20_t13_pruned_with_sigma_0_2,87.0,0.8747668652727614,
RF_20_t13_pruned_with_sigma_0_3,80.0,0.8941300734050962,
RF_20_t14,3.0,0.6559700566753979,
