Feature ,Leaf id,Y = 0,Y = 1, Preferred Class, P(Y) = 0,P(Y) = 1,
51,2,555.0,499.0,0,0.527,0.473,
51,3,0.0,0.0,0,0,0,
51,4,0.0,0.0,0,0,0,
52,0,16796.0,5374.0,0,0.758,0.242,
52,1,0.0,0.0,0,0,0,
52,2,0.0,0.0,0,0,0,
52,3,0.0,0.0,0,0,0,
52,4,0.0,0.0,0,0,0,
53,0,0.0,0.0,0,0,0,
53,1,12711.0,2245.0,0,0.85,0.15,
53,2,4085.0,3129.0,0,0.566,0.434,
53,3,0.0,0.0,0,0,0,
53,4,0.0,0.0,0,0,0,
54,0,0.0,0.0,0,0,0,
54,1,16689.0,5083.0,0,0.767,0.233,
54,2,107.0,291.0,1,0.269,0.731,
54,3,0.0,0.0,0,0,0,
54,4,0.0,0.0,0,0,0,
55,0,0.0,0.0,0,0,0,
55,1,14664.0,3844.0,0,0.792,0.208,
55,2,2132.0,1530.0,0,0.582,0.418,
55,3,0.0,0.0,0,0,0,
55,4,0.0,0.0,0,0,0,
56,0,0.0,0.0,0,0,0,
56,1,16460.0,4954.0,0,0.769,0.231,
56,2,336.0,420.0,1,0.444,0.556,
56,3,0.0,0.0,0,0,0,
56,4,0.0,0.0,0,0,0,
57,0,0.0,0.0,0,0,0,
57,1,16604.0,4879.0,0,0.773,0.227,
57,2,192.0,495.0,1,0.279,0.721,
57,3,0.0,0.0,0,0,0,
57,4,0.0,0.0,0,0,0,
58,0,0.0,0.0,0,0,0,
58,1,15608.0,5206.0,0,0.75,0.25,
58,2,1188.0,168.0,0,0.876,0.124,
58,3,0.0,0.0,0,0,0,
58,4,0.0,0.0,0,0,0,
59,0,0.0,0.0,0,0,0,
59,1,12874.0,4406.0,0,0.745,0.255,
59,2,3922.0,968.0,0,0.802,0.198,
59,3,0.0,0.0,0,0,0,
59,4,0.0,0.0,0,0,0,
60,0,0.0,0.0,0,0,0,
60,1,15249.0,4091.0,0,0.788,0.212,
60,2,1547.0,1283.0,0,0.547,0.453,
60,3,0.0,0.0,0,0,0,
60,4,0.0,0.0,0,0,0,
61,0,0.0,0.0,0,0,0,
61,1,13399.0,5325.0,0,0.716,0.284,
61,2,3397.0,49.0,0,0.986,0.014,
61,3,0.0,0.0,0,0,0,
61,4,0.0,0.0,0,0,0,
62,0,0.0,0.0,0,0,0,
62,1,15579.0,4890.0,0,0.761,0.239,
62,2,1217.0,484.0,0,0.715,0.285,
62,3,0.0,0.0,0,0,0,
62,4,0.0,0.0,0,0,0,
63,0,0.0,0.0,0,0,0,
63,1,14591.0,4733.0,0,0.755,0.245,
63,2,2205.0,641.0,0,0.775,0.225,
63,3,0.0,0.0,0,0,0,
63,4,0.0,0.0,0,0,0,
64,0,0.0,0.0,0,0,0,
64,1,11764.0,4793.0,0,0.711,0.289,
64,2,5032.0,581.0,0,0.896,0.104,
64,3,0.0,0.0,0,0,0,
64,4,0.0,0.0,0,0,0,
65,0,0.0,0.0,0,0,0,
65,1,15346.0,4014.0,0,0.793,0.207,
65,2,1450.0,1360.0,0,0.516,0.484,
65,3,0.0,0.0,0,0,0,
65,4,0.0,0.0,0,0,0,
66,0,0.0,0.0,0,0,0,
66,1,0.0,0.0,0,0,0,
66,2,10677.0,574.0,0,0.949,0.051,
66,3,470.0,214.0,0,0.687,0.313,
66,4,5649.0,4586.0,0,0.552,0.448,
67,0,0.0,0.0,0,0,0,
67,1,0.0,0.0,0,0,0,
67,2,11147.0,788.0,0,0.934,0.066,
67,3,5327.0,4513.0,0,0.541,0.459,
67,4,322.0,73.0,0,0.815,0.185,
68,0,0.0,0.0,0,0,0,
68,1,0.0,0.0,0,0,0,
68,2,9344.0,3013.0,0,0.756,0.244,
68,3,1424.0,1247.0,0,0.533,0.467,
68,4,6028.0,1114.0,0,0.844,0.156,
69,0,0.0,0.0,0,0,0,
69,1,0.0,0.0,0,0,0,
69,2,9881.0,5037.0,0,0.662,0.338,
69,3,6198.0,224.0,0,0.965,0.035,
69,4,717.0,113.0,0,0.864,0.136,
70,0,0.0,0.0,0,0,0,
70,1,0.0,0.0,0,0,0,
70,2,15007.0,3728.0,0,0.801,0.199,
70,3,242.0,363.0,1,0.4,0.6,
70,4,1547.0,1283.0,0,0.547,0.453,
