RF,comparisons Count,accuracy,
RF_5_t22_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t22_pruned_with_sigma_0_1,0.0,0.24171349360811673,
RF_5_t22_pruned_with_sigma_0_2,0.0,0.24171349360811673,
RF_5_t22_pruned_with_sigma_0_3,0.0,0.24171349360811673,
RF_5_t23,0.0,0.24171349360811673,
RF_5_t23_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t23_pruned_with_sigma_0_1,0.0,0.24171349360811673,
RF_5_t23_pruned_with_sigma_0_2,0.0,0.24171349360811673,
RF_5_t23_pruned_with_sigma_0_3,0.0,0.24171349360811673,
RF_5_t24,0.0,0.24171349360811673,
RF_5_t24_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t24_pruned_with_sigma_0_1,0.0,0.24171349360811673,
RF_5_t24_pruned_with_sigma_0_2,0.0,0.24171349360811673,
RF_5_t24_pruned_with_sigma_0_3,0.0,0.24171349360811673,
RF_5_t25,0.0,0.24171349360811673,
RF_5_t25_pruned_with_sigma_0_0,0.0,0.24171349360811673,
RF_5_t25_pruned_with_sigma_0_1,0.0,0.24171349360811673,
RF_5_t25_pruned_with_sigma_0_2,0.0,0.24171349360811673,
RF_5_t25_pruned_with_sigma_0_3,0.0,0.24171349360811673,
RF_10_t2,207.3,0.5983502863649413,
RF_10_t2_pruned_with_sigma_0_0,209.4,0.6677250274117155,
RF_10_t2_pruned_with_sigma_0_1,236.0,0.7920446127185281,
RF_10_t2_pruned_with_sigma_0_2,293.9,0.7470145003487383,
RF_10_t2_pruned_with_sigma_0_3,294.2,0.7368341671536371,
RF_10_t3,199.0,0.5918316984041099,
RF_10_t3_pruned_with_sigma_0_0,199.1,0.5884413744125161,
RF_10_t3_pruned_with_sigma_0_1,201.0,0.7529911285453892,
RF_10_t3_pruned_with_sigma_0_2,204.9,0.7938405875731134,
RF_10_t3_pruned_with_sigma_0_3,212.7,0.7443239679720899,
RF_10_t4,199.0,0.6858210333565553,
RF_10_t4_pruned_with_sigma_0_0,199.0,0.672067019458683,
RF_10_t4_pruned_with_sigma_0_1,199.0,0.6961280701177749,
RF_10_t4_pruned_with_sigma_0_2,199.8,0.7417464087587395,
RF_10_t4_pruned_with_sigma_0_3,200.3,0.7632251761430646,
RF_10_t5,199.0,0.6014838774196403,
RF_10_t5_pruned_with_sigma_0_0,199.0,0.6301585575939495,
RF_10_t5_pruned_with_sigma_0_1,199.0,0.7432978032125076,
RF_10_t5_pruned_with_sigma_0_2,199.0,0.7458347733330792,
RF_10_t5_pruned_with_sigma_0_3,199.0,0.7693087975364766,
RF_10_t6,176.0,0.6620681782860967,
RF_10_t6_pruned_with_sigma_0_0,199.0,0.6544801569168989,
RF_10_t6_pruned_with_sigma_0_1,199.0,0.7297895727212025,
RF_10_t6_pruned_with_sigma_0_2,199.0,0.7458347733330792,
RF_10_t6_pruned_with_sigma_0_3,199.0,0.7805815148994015,
RF_10_t7,101.0,0.6850710906348063,
RF_10_t7_pruned_with_sigma_0_0,172.0,0.7015718590828859,
RF_10_t7_pruned_with_sigma_0_1,199.0,0.7546390975004916,
RF_10_t7_pruned_with_sigma_0_2,199.0,0.7596037764612087,
RF_10_t7_pruned_with_sigma_0_3,199.0,0.7756245303378095,
RF_10_t8,50.0,0.6140634156788736,
RF_10_t8_pruned_with_sigma_0_0,94.0,0.6422875479573134,
RF_10_t8_pruned_with_sigma_0_1,199.0,0.7512561841147928,
RF_10_t8_pruned_with_sigma_0_2,199.0,0.7749254700419165,
RF_10_t8_pruned_with_sigma_0_3,182.0,0.7711212948712085,
RF_10_t9,20.0,0.5588425049114402,
RF_10_t9_pruned_with_sigma_0_0,47.0,0.7358478286081278,
RF_10_t9_pruned_with_sigma_0_1,157.0,0.7814712484895032,
RF_10_t9_pruned_with_sigma_0_2,197.0,0.7697498489561518,
RF_10_t9_pruned_with_sigma_0_3,165.0,0.7702211557260953,
RF_10_t10,14.0,0.6455473399372995,
RF_10_t10_pruned_with_sigma_0_0,30.0,0.6277978629762216,
RF_10_t10_pruned_with_sigma_0_1,106.0,0.779707297822897,
RF_10_t10_pruned_with_sigma_0_2,167.0,0.7760541405139503,
RF_10_t10_pruned_with_sigma_0_3,152.0,0.7643505542464786,
RF_10_t11,6.0,0.566860518242071,
RF_10_t11_pruned_with_sigma_0_0,14.0,0.5845019119707382,
RF_10_t11_pruned_with_sigma_0_1,82.0,0.7204209067594083,
