RF,nodes Count,
RF_5_pruned_with_sigma_0_3_t17,2,
RF_5_t18,2,
RF_5_pruned_with_sigma_0_0_t18,2,
RF_5_pruned_with_sigma_0_1_t18,3,
RF_5_pruned_with_sigma_0_2_t18,2,
RF_5_pruned_with_sigma_0_3_t18,2,
RF_5_t19,1,
RF_5_pruned_with_sigma_0_0_t19,1,
RF_5_pruned_with_sigma_0_1_t19,2,
RF_5_pruned_with_sigma_0_2_t19,2,
RF_5_pruned_with_sigma_0_3_t19,2,
RF_5_t20,1,
RF_5_pruned_with_sigma_0_0_t20,1,
RF_5_pruned_with_sigma_0_1_t20,2,
RF_5_pruned_with_sigma_0_2_t20,2,
RF_5_pruned_with_sigma_0_3_t20,1,
RF_5_t21,1,
RF_5_pruned_with_sigma_0_0_t21,1,
RF_5_pruned_with_sigma_0_1_t21,1,
RF_5_pruned_with_sigma_0_2_t21,2,
RF_5_pruned_with_sigma_0_3_t21,1,
RF_5_t22,1,
RF_5_pruned_with_sigma_0_0_t22,1,
RF_5_pruned_with_sigma_0_1_t22,1,
RF_5_pruned_with_sigma_0_2_t22,2,
RF_5_pruned_with_sigma_0_3_t22,1,
RF_5_t23,1,
RF_5_pruned_with_sigma_0_0_t23,1,
RF_5_pruned_with_sigma_0_1_t23,1,
RF_5_pruned_with_sigma_0_2_t23,2,
RF_5_pruned_with_sigma_0_3_t23,1,
RF_5_t24,1,
RF_5_pruned_with_sigma_0_0_t24,1,
RF_5_pruned_with_sigma_0_1_t24,1,
RF_5_pruned_with_sigma_0_2_t24,1,
RF_5_pruned_with_sigma_0_3_t24,1,
RF_5_t25,1,
RF_5_pruned_with_sigma_0_0_t25,1,
RF_5_pruned_with_sigma_0_1_t25,1,
RF_5_pruned_with_sigma_0_2_t25,1,
RF_5_pruned_with_sigma_0_3_t25,1,
RF_10_t2,2875,
RF_10_pruned_with_sigma_0_0_t2,2967,
RF_10_pruned_with_sigma_0_1_t2,3204,
RF_10_pruned_with_sigma_0_2_t2,3605,
RF_10_pruned_with_sigma_0_3_t2,3768,
RF_10_t3,1149,
RF_10_pruned_with_sigma_0_0_t3,1140,
RF_10_pruned_with_sigma_0_1_t3,1124,
RF_10_pruned_with_sigma_0_2_t3,1265,
RF_10_pruned_with_sigma_0_3_t3,1373,
RF_10_t4,558,
RF_10_pruned_with_sigma_0_0_t4,564,
RF_10_pruned_with_sigma_0_1_t4,513,
RF_10_pruned_with_sigma_0_2_t4,569,
RF_10_pruned_with_sigma_0_3_t4,627,
RF_10_t5,298,
RF_10_pruned_with_sigma_0_0_t5,321,
RF_10_pruned_with_sigma_0_1_t5,276,
RF_10_pruned_with_sigma_0_2_t5,266,
RF_10_pruned_with_sigma_0_3_t5,279,
RF_10_t6,202,
RF_10_pruned_with_sigma_0_0_t6,235,
RF_10_pruned_with_sigma_0_1_t6,209,
